poi_id,name,address,district,city,tel,location,lng,lat,tag_1,tag_2,tag_3,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8,photo_9,photo_10,photo_11,photo_12,photo_13,photo_14,photo_15,photo_16,photo_17,photo_18,photo_19,photo_20
B0LAY70GC9,深圳中心公园露营地,振华路997号,福田区,深圳市,17277893580,"114.078397,22.546508",114.078397,22.546508,公园露营,亲子友好,网红打卡,https://aos-comment.amap.com/B0LAY70GC9/comment/content_media_external_file_140_1757083197914_66407918.jpg,http://store.is.autonavi.com/showpic/98f5b22e0160be2c8ce116935ef9daa2,https://aos-comment.amap.com/B0LAY70GC9/comment/content_media_external_file_140_1757083197914_46141674.jpg,,,,,,,,,,,,,,,,,
B0JD47KV2Q,晴空主义·Glamp城市营地,彩田路万科社区运动公园(冬瓜岭地铁站E口步行160米),福田区,深圳市,,"114.068216,22.559544",114.068216,22.559544,城市露营,网红打卡,/,https://store.is.autonavi.com/showpic/7960168da3a0aa69ffb44e354dc8f34b,https://aos-comment.amap.com/B0JD47KV2Q/comment/content_media_external_file_1000061720_ss__1773477510985_45472372.jpg,http://store.is.autonavi.com/showpic/6f563672df088a3dc91811da30eff565,,,,,,,,,,,,,,,,,
B0L23754YF,Seven.H城市营地,沙河东路沙河生态体育公园右侧,南山区,深圳市,13922887735,"113.963661,22.539223",113.963661,22.539223,城市露营,团建场地,/,https://store.is.autonavi.com/showpic/5f507990dc3ceb0a8fbd7c8487862d5c,https://store.is.autonavi.com/showpic/b19c8d98ac0736733a02ee9684812bec,https://store.is.autonavi.com/showpic/538ab114fd610a2f5d00b97d0b1c667d,,,,,,,,,,,,,,,,,
B0I245K3I4,大白之家天台营地烧烤·聚会·团建(高新园店),高新技术园中区科发路2号朗峰大厦F7层,南山区,深圳市,13332954355,"113.951075,22.543675",113.951075,22.543675,城市露营,团建场地,烧烤餐饮,https://store.is.autonavi.com/showpic/8f658ef342790c7be8993a8b7f97950f,https://store.is.autonavi.com/showpic/16ee72bc1d4e41e699bda48c229676d6,https://aos-comment.amap.com/B0I245K3I4/comment/DFB4B6B5_E70B_4AFB_9B1E_0DFCAD84E9CA_L0_001_1080_192_1770397754331_24241369.jpg,,,,,,,,,,,,,,,,,
B0K2RZ72C6,青辰露营,西乡街道富华社区宝石路棒球场旁平房一层,宝安区,深圳市,17889554986,"113.920650,22.620104",113.92065,22.620104,城市露营,/,/,https://aos-comment.amap.com/B0K2RZ72C6/comment/content_media_external_images_media_100006451_1730031000749_70932244.jpg,http://store.is.autonavi.com/showpic/2c56bf415396e6db145cee6a82fa7372,https://aos-comment.amap.com/B0K2RZ72C6/comment/content_media_external_images_media_100006450_1730031000750_55741437.jpg,,,,,,,,,,,,,,,,,
B0LAG7PZI9,前海中心河露营地,,南山区,深圳市,17683948900,"113.897764,22.541301",113.897764,22.541301,城市露营,可过夜,/,https://aos-comment.amap.com/B0LAG7PZI9/comment/19C5E5EF_BC8D_41B8_9F34_E8069F97AC4B_L0_001_2048_153_1763602121762_15554377.jpg,https://store.is.autonavi.com/showpic/aada98a590c838bf8d38ebf2f70c0d7c,https://store.is.autonavi.com/showpic/b2a070d2005422b66a18c0e545148845,,,,,,,,,,,,,,,,,
B0JRUKS6F5,龙华观澜中心公园露营地,观盛三路与翠幽路交叉口西北200米,龙华区,深圳市,0755-29050473,"114.062175,22.684125",114.062175,22.684125,公园露营,可过夜,网红打卡,https://store.is.autonavi.com/showpic/e7aacb1bb7e936a96ce4ff6971a8fb05,https://aos-comment.amap.com/B0JRUKS6F5/comment/content_media_external_images_media_1000061499_ss__1765957889086_07589089.jpg,https://aos-comment.amap.com/B0JRUKS6F5/comment/content_media_external_file_193673_ss__1763767141403_72161107.jpg,,,,,,,,,,,,,,,,,
B0I0DRRAI6,顶楼空想露营地,布沙路215号,龙岗区,深圳市,15382869592,"114.141223,22.605158",114.141223,22.605158,城市露营,/,/,https://store.is.autonavi.com/showpic/578335a2b1cab0f45d96e388c35012cf,https://store.is.autonavi.com/showpic/b409278e64887e1a0edd091812bfd779,,,,,,,,,,,,,,,,,,
B0KAC7T0FE,小兔房车营地,美泰物流园内入口200米,龙岗区,深圳市,,"114.134375,22.648025",114.134375,22.648025,可过夜,/,/,http://store.is.autonavi.com/showpic/a2834787a6b6a3c41b641e850c8bcb6d,https://store.is.autonavi.com/showpic/32cd25178f3223d50000000811192126,https://store.is.autonavi.com/showpic/5bdc95c4eae349b80000000811188100,,,,,,,,,,,,,,,,,
B0I3XL64O5,狼人谷派对露营地,南天门伯公庙西北侧130米,罗湖区,深圳市,18925240038,"114.182193,22.609585",114.182193,22.609585,团建场地,可过夜,/,https://aos-comment.amap.com/B0I3XL64O5/comment/42ad49f5f8e85833e4fd6663fb5e28e1_2048_2048_80.jpg,https://aos-comment.amap.com/B0I3XL64O5/comment/999a67b5e552aebec85271c78a5a36b9_2048_2048_80.jpg,https://aos-comment.amap.com/B0I3XL64O5/comment/cceb0d1ff603589ce3d9810f0e192f2b_2048_2048_80.jpg,,,,,,,,,,,,,,,,,
B0LA2DUZ7H,星雅集露营地,吉华街道甘坑古镇二十四史书院,龙岗区,深圳市,0755-84310788,"114.101118,22.661140",114.101118,22.66114,网红打卡,可过夜,/,http://store.is.autonavi.com/showpic/8220b72918e1ff404dd1ebba062b61c4,http://store.is.autonavi.com/showpic/42e701195938dd1f8d24b6d45d5e90fb,http://store.is.autonavi.com/showpic/3a8442555d34a18b517fd10503a2b88a,,,,,,,,,,,,,,,,,
